timestamp,frame_number,status,method,contour_count,person_count
2026-07-09 09:58:54.778,24,MOTION DETECTED,Background Subtraction (KNN),35,35
2026-07-09 09:58:54.821,25,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:58:54.859,26,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:58:54.898,27,MOTION DETECTED,Background Subtraction (KNN),29,29
2026-07-09 09:58:54.949,28,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:58:54.989,29,MOTION DETECTED,Background Subtraction (KNN),29,29
2026-07-09 09:58:55.024,30,MOTION DETECTED,Background Subtraction (KNN),27,27
2026-07-09 09:58:55.062,31,MOTION DETECTED,Background Subtraction (KNN),25,25
2026-07-09 09:58:55.101,32,MOTION DETECTED,Background Subtraction (KNN),27,27
2026-07-09 09:58:55.136,33,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:58:55.182,34,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:58:55.224,35,MOTION DETECTED,Background Subtraction (KNN),33,33
2026-07-09 09:58:55.265,36,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:58:55.301,37,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:58:55.343,38,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:58:55.381,39,MOTION DETECTED,Background Subtraction (KNN),29,29
2026-07-09 09:58:55.429,40,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:58:55.465,41,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:58:55.511,42,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:58:55.562,43,MOTION DETECTED,Background Subtraction (KNN),29,29
2026-07-09 09:58:55.625,44,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:58:55.681,45,MOTION DETECTED,Background Subtraction (KNN),26,26
2026-07-09 09:58:55.729,46,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:58:55.787,47,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:58:55.838,48,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:58:55.881,49,MOTION DETECTED,Background Subtraction (KNN),29,29
2026-07-09 09:58:55.929,50,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:58:55.965,51,MOTION DETECTED,Background Subtraction (KNN),26,26
2026-07-09 09:58:55.991,52,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:58:56.039,53,MOTION DETECTED,Background Subtraction (KNN),29,29
2026-07-09 09:58:56.076,54,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:58:56.120,55,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:58:56.156,56,MOTION DETECTED,Background Subtraction (KNN),33,33
2026-07-09 09:58:56.200,57,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:58:56.256,58,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:58:56.293,59,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:58:56.333,60,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:58:56.372,61,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:58:56.407,62,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:58:56.452,63,MOTION DETECTED,Background Subtraction (KNN),29,29
2026-07-09 09:58:56.509,64,MOTION DETECTED,Background Subtraction (KNN),30,30
2026-07-09 09:58:56.556,65,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:58:56.596,66,MOTION DETECTED,Background Subtraction (KNN),32,32
2026-07-09 09:58:56.652,67,MOTION DETECTED,Background Subtraction (KNN),31,31
2026-07-09 09:58:56.687,68,MOTION DETECTED,Background Subtraction (KNN),33,33
2026-07-09 09:58:56.714,69,MOTION DETECTED,Background Subtraction (KNN),35,35
2026-07-09 09:58:56.765,70,MOTION DETECTED,Background Subtraction (KNN),35,35
2026-07-09 09:58:56.812,71,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:58:56.868,72,MOTION DETECTED,Background Subtraction (KNN),37,37
2026-07-09 09:58:56.941,73,MOTION DETECTED,Background Subtraction (KNN),41,41
2026-07-09 09:58:56.983,74,MOTION DETECTED,Background Subtraction (KNN),40,40
2026-07-09 09:58:57.030,75,MOTION DETECTED,Background Subtraction (KNN),39,39
2026-07-09 09:58:57.088,76,MOTION DETECTED,Background Subtraction (KNN),37,37
2026-07-09 09:58:57.134,77,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:58:57.181,78,MOTION DETECTED,Background Subtraction (KNN),41,41
2026-07-09 09:58:57.229,79,MOTION DETECTED,Background Subtraction (KNN),42,42
2026-07-09 09:58:57.295,80,MOTION DETECTED,Background Subtraction (KNN),40,40
2026-07-09 09:58:57.344,81,MOTION DETECTED,Background Subtraction (KNN),45,45
2026-07-09 09:58:57.391,82,MOTION DETECTED,Background Subtraction (KNN),47,47
2026-07-09 09:58:57.442,83,MOTION DETECTED,Background Subtraction (KNN),40,40
2026-07-09 09:58:57.491,84,MOTION DETECTED,Background Subtraction (KNN),37,37
2026-07-09 09:58:57.530,85,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:58:57.616,86,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:58:57.659,87,MOTION DETECTED,Background Subtraction (KNN),34,34
2026-07-09 09:58:57.706,88,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:58:57.759,89,MOTION DETECTED,Background Subtraction (KNN),39,39
2026-07-09 09:58:57.811,90,MOTION DETECTED,Background Subtraction (KNN),41,41
2026-07-09 09:58:57.857,91,MOTION DETECTED,Background Subtraction (KNN),42,42
2026-07-09 09:58:57.893,92,MOTION DETECTED,Background Subtraction (KNN),43,43
2026-07-09 09:58:57.946,93,MOTION DETECTED,Background Subtraction (KNN),43,43
2026-07-09 09:58:58.030,94,MOTION DETECTED,Background Subtraction (KNN),45,45
2026-07-09 09:58:58.073,95,MOTION DETECTED,Background Subtraction (KNN),41,41
2026-07-09 09:58:58.114,96,MOTION DETECTED,Background Subtraction (KNN),41,41
2026-07-09 09:58:58.154,97,MOTION DETECTED,Background Subtraction (KNN),43,43
2026-07-09 09:58:58.195,98,MOTION DETECTED,Background Subtraction (KNN),41,41
2026-07-09 09:58:58.232,99,MOTION DETECTED,Background Subtraction (KNN),44,44
2026-07-09 09:58:58.276,100,MOTION DETECTED,Background Subtraction (KNN),42,42
2026-07-09 09:58:58.315,101,MOTION DETECTED,Background Subtraction (KNN),43,43
2026-07-09 09:58:58.379,102,MOTION DETECTED,Background Subtraction (KNN),41,41
2026-07-09 09:58:58.418,103,MOTION DETECTED,Background Subtraction (KNN),39,39
2026-07-09 09:58:58.473,104,MOTION DETECTED,Background Subtraction (KNN),35,35
2026-07-09 09:58:58.523,105,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:58:58.577,106,MOTION DETECTED,Background Subtraction (KNN),36,36
2026-07-09 09:58:58.623,107,MOTION DETECTED,Background Subtraction (KNN),37,37
